Country,Life Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Polio,Total Expenditure,Diphtheria,HIV/AIDS,GDP,Thinness 1-19 Years,Thinness 5-9 Years,Income Composition of Resources,Schooling,Under Five Deaths,Freedom on Happiness,GDP per Capita on Happiness,Generosity on Happiness,Government Corruption on Happiness,Happiness Rank,Happiness Score,Life Expectancy on Happiness,Social Support on Happiness,Region,Population,Area,gini,Real Growth Rating(%),Literacy Rate(%),Inflation(%),Unemployement(%),Developed,Developing,Happiness Status,Total Immunized Disease(%)
Ecuador,74.725,132.125,7.375,3.57,109.4060512,78.0625,20.75,43.3125,84.125,5.8,89.1875,0.19375,2005.352468,1.38125,1.26875,0.698875,13.0125,8.75,0.662330994,0.495936015,0.144679736,0.256710205,48.2,0.649921188,0.660213185,0.704007155,3,16545799,276841,49.3,45,91.6,2.6,4.2,0,1,0,83.79166667
Egypt,71.5,170.625,54.3125,0.1775,0,96.6875,495.5,49.2625,96.6875,5.299375,96.6875,0.1,47.5432354,3.125,3.075,0.647625,11.89375,64.5625,0.330513855,0.494284436,0.128055685,0.165081758,123.6,0.331402674,0.500520115,0.523917444,4,91290000,1002450,30.8,1.8,73.9,9,13.4,0,1,1,96.6875
El Salvador,71.74375,155.0625,2.5625,2.525,341.5691573,86.0625,0.125,45.325,87.625,6.946875,89.9375,0.2875,2517.83463,1.80625,1.725,0.6504375,12.65625,2.875,0.580011749,0.443457406,0.103080966,0.170270863,41.6,0.675965313,0.577982218,0.667876532,3,6520675,21041,48.3,1.6,84.5,0.9,6.3,0,1,0,87.875
Estonia,74.94375,169.6875,0,7.33375,480.3824441,67.375,3.5,56.68125,94.25,5.619375,94.125,0.1,6165.686554,2.075,2.1375,0.8233125,15.9375,0,0.660530782,0.66168194,0.109517817,0.3099342,65.8,0.58014184,0.659203912,0.829222762,1,1315944,45227,36,1.5,99,3.4,10.9,0,1,0,85.25
Ethiopia,59.1125,285.5625,55,1.008125,32.48210918,56.625,716.3125,14.8,59.5625,4.8825,59.8125,1.4625,264.97095,8.38125,6.475,0.346125,6.9,66,0.554246614,0.156812139,0.305490677,0.265853387,123.4,0.340858935,0.361566995,0.46606438,8,92206005,1104300,29.8,7,39,8.4,17.5,0,1,1,58.66666667
Finland,80.7125,68.875,0,8.95625,783.9527891,99,2.8125,52.3,97.1875,8.363125,98.25,0.1,8491.26449,0.9,0.80625,0.8729375,17.29375,0,0.858475375,0.725350264,0.259860409,0.721991463,3.6,0.954452319,0.765850599,0.872523932,9,5491817,338424,26.9,0.2,100,1.3,8.6,0,1,2,98.14583333
France,82.21875,73.125,2.9375,11.568125,839.2292934,51.25,400.0625,51.98125,98.25,6.43375,98.0625,0.1,9049.957298,0.625,0.6,0.8705625,15.9,3.4375,0.674572408,0.718484791,0.13929116,0.331953553,27.8,0.752994477,0.803015925,0.801853632,9,66710000,640679,32.7,0.4,99,0.7,9.7,0,1,2,82.52083333
Gabon,62.24375,220.4375,2,7.385625,261.0777786,48.375,81.1875,28.81875,63.5,3.264375,63.6875,1.7,5179.256189,6.91875,6.775,0.654375,12.4125,3,0.431891872,0.589059365,0.059528164,0.14027533,120.4,0.337825055,0.370674599,0.624279832,8,1802278,267668,41.5,5.1,82.3,7,21,0,1,1,58.52083333
Georgia,73.50625,114.9375,1.1875,5.2725,99.52571402,77.25,301.8125,47.74375,83.875,7.16,86.3125,0.1,2158.280869,2.75,2.89375,0.6779375,12.675,1.25,0.486406087,0.456436923,0.061650512,0.48296883,125.6,0.324231659,0.598449953,0.292788921,1,3720400,69700,41.3,5,99.7,3.3,14.9,0,1,1,82.47916667
Germany,81.175,71.25,2.5,10.9025,891.6542996,77.4375,626.5625,51.99375,94.8125,4.10625,92.625,0.1,8544.987861,1.11875,1.10625,0.8945,16.6,3.25,0.771530769,0.745867153,0.347684608,0.480394245,18,0.834515372,0.763134221,0.82696233,9,81770900,357114,28.3,0.5,99,1.6,6,1,0,2,88.29166667
